id,in_span_mean,out_span_mean,relative_TRT,Text_TRT,Target_TRT,Fix_Target,target_to_fixation_ratio,Fix_Total,Correct_Flag
A1ISZTMNHXPB4C,171.0,83.33333333333333,0.03761467889908257,6540.0,246.0,3,0.0394736842,76,1
A1JI19KPIVNL3Y,665.9444444444445,303.0416666666667,0.5129295483277784,26103.0,13389.0,137,0.4910394265,279,1
A1JVDJPJN1XHLD,0,505.65909090909093,0.0,30060.0,0.0,0,0.0,294,1
A1JWPEUSQYB6XL,0,148.33333333333334,0.0,4856.0,0.0,0,0.0,50,1
A1K76PLMB0YQT5,59.0,543.8958333333334,0.0016315018112435362,36163.0,59.0,1,0.0020325203,492,1
A1KGPGSI6I9TQ5,0,184.02857142857144,0.0,8110.0,0.0,0,0.0,96,0
A1LTVR9DOB62B1,530.3,274.90909090909093,0.350923747058529,19973.0,7009.0,63,0.3298429319,191,0
A1N93G08WP4XH7,300.0,340.6842105263158,0.011818002757533978,25385.0,300.0,3,0.0175438596,171,1
A1NQOR4RQJJDMW,146.125,158.35714285714286,0.28265456847436166,9478.0,2679.0,32,0.2711864407,118,0
A1OM5NWYYYJKQW,0,294.94117647058823,0.0,16163.0,0.0,0,0.0,93,1
A1OZPLHNIU1519,239.0,201.17857142857142,0.012738514017695341,18762.0,239.0,2,0.0097560976,205,1
A1PHDT66U6IK4Q,538.0,375.42028985507244,0.028256916801808443,40698.0,1150.0,14,0.0274509804,510,1
A1QMJNJ5FGC09,104.33333333333333,154.95652173913044,0.042771248975129815,7318.0,313.0,5,0.0666666667,75,0
A1T9BJRS4IL8VQ,101.0,108.54166666666667,0.03055051421657592,3306.0,101.0,1,0.0222222222,45,1
A1VGM6OJRPRNCQ,0,194.69230769230768,0.0,6933.0,0.0,0,0.0,82,0
A1WH32GYQOHIRQ,162.5,352.7692307692308,0.02712345964518154,30269.0,821.0,9,0.0296052632,304,0
A1WRZX4HNRMVG1,0,256.44897959183675,0.0,17664.0,0.0,0,0.0,156,0
A1X2SSCWCB9N76,181.0,246.75,0.021528618364170846,11566.0,249.0,3,0.0241935484,124,0
A1YRYQBQGQRY1Q,200.5,222.92592592592592,0.03226325529004747,12429.0,401.0,3,0.0243902439,123,0
A1YTB9G04PC71S,0,225.95652173913044,0.00641440974471945,15434.0,99.0,1,0.0060240964,166,0
A20SL254675EOK,0,134.97058823529412,0.0,5876.0,0.0,0,0.0,68,0
A21ZK49H9LSSRY,239.5,229.4814814814815,0.040814763764453636,13059.0,533.0,8,0.0430107527,186,0
A224ZKQ83DQ3P3,648.0,490.4189189189189,0.0262672530857942,49339.0,1296.0,15,0.0297619048,504,0
A23KAJRDVCVGOE,156.5625,177.06666666666666,0.45905267817618417,6777.0,3111.0,37,0.4457831325,83,0
A24LB89P1BPKKF,0,479.5128205128205,0.0,26391.0,0.0,0,0.0,239,0
A25TQ73VVCOM4X,0,291.9736842105263,0.0,17785.0,0.0,0,0.0,205,0
A28VE2YSRYE3B8,0,71.5,0.0,143.0,0.0,0,0.0,3,1
A292T1OXCVXN78,0,140.55172413793105,0.0,7145.0,0.0,0,0.0,79,0
A293JF50QSYCRO,0,397.7894736842105,0.0,20483.0,0.0,0,0.0,208,1
A2APG8MSLJ6G2K,239.0,360.93333333333334,0.01338560627275273,17855.0,239.0,3,0.0147058824,204,1
A2G57M3XD1AIBS,341.5,391.9142857142857,0.03626612860404609,18833.0,683.0,5,0.0282485876,177,0
A2H1QUGX0SOUMH,0,179.91304347826087,0.0,7722.0,0.0,0,0.0,123,1
A2HOEI5M6G883O,514.0,249.47058823529412,0.06203234371228578,8286.0,514.0,1,0.0192307692,52,1
A2I6ZALE49CVSC,313.0,204.94594594594594,0.02410288002464192,12986.0,313.0,3,0.0223880597,134,0
A2IFHU3P1MF54K,0,334.05263157894734,0.0,22125.0,0.0,0,0.0,125,0
A2IQ0QCTQ3KWLT,1089.0,378.3777777777778,0.0,23371.0,0.0,0,0.0,118,0
A2LLOJFA11FSZF,251.0,152.77777777777777,0.07196100917431193,3488.0,251.0,2,0.0454545455,44,1
A2N9U74YIPDQ9F,126.375,180.0,0.13506684914201494,9499.0,1283.0,13,0.1226415094,106,0
A2OU4N4VBIE91I,0,605.969696969697,0.0,34912.0,0.0,0,0.0,288,1
A2OVX9UW5WANQE,332.0,257.9433962264151,0.020394381415451107,22212.0,453.0,6,0.020979021,286,0
